data11,data12,data13
-10,-0.00393363148585487,-0.00955716591941242
-9.99799979998,-0.0039336314787168,-0.00955716590422485
-9.99599959996,-0.00393363147155127,-0.00955716588897897
-9.99399939993999,-0.00393363146435805,-0.00955716587367434
-9.99199919991999,-0.0039336314571373,-0.00955716585831056
-9.98999899989999,-0.00393363144988858,-0.00955716584288765
-9.98799879987999,-0.00393363144261212,-0.0095571658274056
-9.98599859985999,-0.00393363143530753,-0.00955716581186338
-9.98399839983998,-0.003933631427975,-0.00955716579626184
-9.98199819981998,-0.00393363142061393,-0.00955716578059996
-9.97999799979998,-0.00393363141322454,-0.00955716576487751
-9.97799779977998,-0.00393363140580716,-0.00955716574909514
-9.97599759975998,-0.00393363139836086,-0.00955716573325162
-9.97399739973997,-0.00393363139088595,-0.00955716571734692
-9.97199719971997,-0.00393363138338235,-0.00955716570138108
-9.96999699969997,-0.00393363137584987,-0.00955716568535368
-9.96799679967997,-0.0039336313682884,-0.00955716566926475
-9.96599659965997,-0.00393363136069795,-0.00955716565311406
-9.96399639963996,-0.00393363135307824,-0.0095571656369008
-9.96199619961996,-0.00393363134542904,-0.00955716562062517
-9.95999599959996,-0.00393363133775061,-0.00955716560428679
-9.95799579957996,-0.00393363133004241,-0.00955716558788567
-9.95599559955996,-0.00393363132230466,-0.00955716557142136
-9.95399539953995,-0.00393363131453708,-0.00955716555489349
-9.95199519951995,-0.00393363130673956,-0.00955716553830185
-9.94999499949995,-0.00393363129891212,-0.00955716552164645
-9.94799479947995,-0.00393363129105488,-0.00955716550492752
-9.94599459945995,-0.00393363128316701,-0.00955716548814337
-9.94399439943994,-0.00393363127524893,-0.00955716547129486
-9.94199419941994,-0.00393363126730035,-0.00955716545438159
-9.93999399939994,-0.00393363125932118,-0.00955716543740292
-9.93799379937994,-0.003933631251311,-0.00955716542035868
-9.93599359935994,-0.00393363124327058,-0.00955716540324951
-9.93399339933993,-0.00393363123519907,-0.00955716538607433
-9.93199319931993,-0.00393363122709607,-0.00955716536883235
-9.92999299929993,-0.00393363121896223,-0.00955716535152441
-9.92799279927993,-0.00393363121079714,-0.00955716533414989
-9.92599259925993,-0.0039336312026006,-0.00955716531670838
-9.92399239923992,-0.00393363119437242,-0.00955716529919948
-9.92199219921992,-0.00393363118611271,-0.00955716528162362
-9.91999199919992,-0.00393363117782085,-0.00955716526397954
-9.91799179917992,-0.00393363116949739,-0.00955716524626767
-9.91599159915992,-0.00393363116114191,-0.00955716522848783
-9.91399139913991,-0.00393363115275455,-0.0095571652106396
-9.91199119911991,-0.00393363114433425,-0.00955716519272194
-9.90999099909991,-0.00393363113588188,-0.00955716517473571
-9.90799079907991,-0.00393363112739702,-0.00955716515668028
-9.90599059905991,-0.00393363111887948,-0.00955716513855524
-9.9039903990399,-0.00393363111032939,-0.00955716512036063
-9.9019901990199,-0.00393363110174612,-0.00955716510209559
-9.8999899989999,-0.00393363109312988,-0.00955716508376056
-9.8979897989799,-0.00393363108448062,-0.00955716506535473
-9.8959895989599,-0.00393363107579789,-0.00955716504687808
-9.89398939893989,-0.00393363106708194,-0.00955716502833045
-9.89198919891989,-0.00393363105833215,-0.00955716500971098
-9.88998899889989,-0.00393363104954895,-0.00955716499102012
-9.88798879887989,-0.00393363104073162,-0.00955716497225681
-9.88598859885989,-0.0039336310318806,-0.00955716495342152
-9.88398839883988,-0.0039336310229959,-0.00955716493451422
-9.88198819881988,-0.00393363101407658,-0.00955716491553348
-9.87998799879988,-0.0039336310051232,-0.00955716489647994
-9.87798779877988,-0.00393363099613511,-0.00955716487735298
-9.87598759875988,-0.00393363098711258,-0.00955716485815218
-9.87398739873987,-0.00393363097805506,-0.00955716483887736
-9.87198719871987,-0.003933630968963,-0.00955716481952873
-9.86998699869987,-0.0039336309598359,-0.00955716480010525
-9.86798679867987,-0.00393363095067355,-0.00955716478060695
-9.86598659865987,-0.00393363094147596,-0.00955716476103362
-9.86398639863986,-0.00393363093224317,-0.00955716474138507
-9.86198619861986,-0.00393363092297486,-0.00955716472166089
-9.85998599859986,-0.00393363091367052,-0.00955716470186046
-9.85798579857986,-0.00393363090433091,-0.00955716468198422
-9.85598559855986,-0.00393363089495508,-0.00955716466203132
-9.85398539853985,-0.00393363088554329,-0.00955716464200139
-9.85198519851985,-0.00393363087609499,-0.0095571646218942
-9.84998499849985,-0.00393363086661054,-0.00955716460170978
-9.84798479847985,-0.00393363085708994,-0.00955716458144814
-9.84598459845985,-0.00393363084753217,-0.0095571645611074
-9.84398439843984,-0.00393363083793774,-0.00955716454068905
-9.84198419841984,-0.00393363082830649,-0.00955716452019183
-9.83998399839984,-0.0039336308186382,-0.00955716449961599
-9.83798379837984,-0.00393363080893291,-0.00955716447896088
-9.83598359835984,-0.00393363079918988,-0.00955716445822591
-9.83398339833983,-0.00393363078940955,-0.00955716443741129
-9.83198319831983,-0.00393363077959162,-0.00955716441651639
-9.82998299829983,-0.0039336307697357,-0.00955716439554084
-9.82798279827983,-0.00393363075984211,-0.00955716437448484
-9.82598259825983,-0.00393363074991054,-0.0095571643533482
-9.82398239823982,-0.0039336307399405,-0.00955716433212945
-9.82198219821982,-0.00393363072993231,-0.00955716431082926
-9.81998199819982,-0.00393363071988526,-0.00955716428944678
-9.81798179817982,-0.00393363070979999,-0.00955716426798225
-9.81598159815982,-0.00393363069967598,-0.00955716424643546
-9.81398139813981,-0.00393363068951275,-0.00955716422480518
-9.81198119811981,-0.00393363067931017,-0.00955716420309139
-9.80998099809981,-0.00393363066906872,-0.00955716418129436
-9.80798079807981,-0.00393363065878777,-0.00955716415941325
-9.80598059805981,-0.00393363064846731,-0.00955716413744804
-9.8039803980398,-0.00393363063810687,-0.00955716411539796
-9.8019801980198,-0.00393363062770687,-0.0095571640932634
